split new_name source_image
train hard2_redhard_036 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_036.jpg
train hard2_redhard_041 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_041.jpg
train hard2_redhard_021 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_021.jpg
train hard2_redhard_012 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_012.jpg
train hard2_redhard_054 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_054.jpg
train hard2_redhard_001 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_001.jpg
train hard2_redhard_016 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_016.jpg
train hard2_redhard_056 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_056.jpg
train hard2_redhard_042 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_042.jpg
train hard2_redhard_032 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_032.jpg
train hard2_redhard_006 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_006.jpg
train hard2_redhard_029 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_029.jpg
train hard2_redhard_007 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_007.jpg
train hard2_redhard_025 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_025.jpg
train hard2_redhard_003 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_003.jpg
train hard2_redhard_044 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_044.jpg
train hard2_redhard_051 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_051.jpg
train hard2_redhard_024 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_024.jpg
train hard2_redhard_015 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_015.jpg
train hard2_redhard_039 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_039.jpg
train hard2_redhard_013 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_013.jpg
train hard2_redhard_005 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_005.jpg
train hard2_redhard_052 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_052.jpg
train hard2_redhard_035 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_035.jpg
train hard2_redhard_045 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_045.jpg
train hard2_redhard_055 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_055.jpg
train hard2_redhard_022 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_022.jpg
train hard2_redhard_043 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_043.jpg
train hard2_redhard_030 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_030.jpg
train hard2_redhard_023 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_023.jpg
train hard2_redhard_057 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_057.jpg
train hard2_redhard_010 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_010.jpg
train hard2_redhard_038 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_038.jpg
train hard2_redhard_004 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_004.jpg
train hard2_redhard_017 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_017.jpg
train hard2_redhard_014 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_014.jpg
train hard2_redhard_011 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_011.jpg
train hard2_redhard_040 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_040.jpg
train hard2_redhard_002 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_002.jpg
train hard2_redhard_048 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_048.jpg
train hard2_redhard_008 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_008.jpg
train hard2_redhard_031 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_031.jpg
train hard2_redhard_037 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_037.jpg
train hard2_redhard_018 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_018.jpg
train hard2_redhard_046 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_046.jpg
train hard2_redhard_019 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_019.jpg
train hard2_redhard_026 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_026.jpg
train hard2_redhard_059 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_059.jpg
val hard2_redhard_009 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_009.jpg
val hard2_redhard_028 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_028.jpg
val hard2_redhard_053 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_053.jpg
val hard2_redhard_020 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_020.jpg
val hard2_redhard_050 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_050.jpg
val hard2_redhard_033 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_033.jpg
test hard2_redhard_049 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_049.jpg
test hard2_redhard_060 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_060.jpg
test hard2_redhard_058 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_058.jpg
test hard2_redhard_047 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_047.jpg
test hard2_redhard_027 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_027.jpg
test hard2_redhard_034 /home/ros/robot_ws/datasets/user_cube_dataset/red_hard_seed_60_20260816_000519/review/redhard_034.jpg
