new_name source_image source_label
redhard_001 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0519_c0662de6.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0519_c0662de6.txt
redhard_002 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0520_dc0507aa.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0520_dc0507aa.txt
redhard_003 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0521_74df35ab.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0521_74df35ab.txt
redhard_004 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0522_667a754d.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0522_667a754d.txt
redhard_005 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0523_68125aec.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0523_68125aec.txt
redhard_006 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0524_9e456f39.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0524_9e456f39.txt
redhard_007 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0531_7505e9c7.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0531_7505e9c7.txt
redhard_008 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0532_3cb70482.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0532_3cb70482.txt
redhard_009 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0533_aa3f79c9.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0533_aa3f79c9.txt
redhard_010 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0612_617ed6b6.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0612_617ed6b6.txt
redhard_011 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0076_8105e5d4.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0076_8105e5d4.txt
redhard_012 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0077_19cf262b.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0077_19cf262b.txt
redhard_013 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0206_c26adc4a.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0206_c26adc4a.txt
redhard_014 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0207_14c1fea2.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0207_14c1fea2.txt
redhard_015 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0208_c16b41f1.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0208_c16b41f1.txt
redhard_016 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0209_bf09cd0c.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0209_bf09cd0c.txt
redhard_017 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0482_0dfca676.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0482_0dfca676.txt
redhard_018 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0483_cc284350.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0483_cc284350.txt
redhard_019 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0134_08e58fa3.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0134_08e58fa3.txt
redhard_020 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0135_dbe11702.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0135_dbe11702.txt
redhard_021 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0136_d79e6285.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0136_d79e6285.txt
redhard_022 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0137_28d65bf0.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0137_28d65bf0.txt
redhard_023 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0138_fae6abba.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0138_fae6abba.txt
redhard_024 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0139_9cdd0c23.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0139_9cdd0c23.txt
redhard_025 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0140_625e9306.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0140_625e9306.txt
redhard_026 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0301_242e712e.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0301_242e712e.txt
redhard_027 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0079_1c6de87a.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0079_1c6de87a.txt
redhard_028 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0080_d15e5b49.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0080_d15e5b49.txt
redhard_029 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0047_506fca38.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0047_506fca38.txt
redhard_030 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0048_567f3ecb.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0048_567f3ecb.txt
redhard_031 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0084_d55b8c61.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0084_d55b8c61.txt
redhard_032 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0085_6d3b5fed.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0085_6d3b5fed.txt
redhard_033 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0508_5130089e.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0508_5130089e.txt
redhard_034 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0509_4da37172.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0509_4da37172.txt
redhard_035 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0510_4f439542.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0510_4f439542.txt
redhard_036 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0511_695b428a.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0511_695b428a.txt
redhard_037 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0512_1df05a9c.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0512_1df05a9c.txt
redhard_038 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0513_34f68a17.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0513_34f68a17.txt
