epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1609,0.45253,0.4604,0.85174,0.99581,0.93543,0.94063,0.80322,0.65944,0.5149,0.89837,0.000320513,0.000320513,0.0682692
2,81.9065,0.49565,0.46829,0.87267,0.9841,0.92353,0.93667,0.77563,0.6914,0.48873,0.95582,0.000652848,0.000652848,0.0352682
3,120.19,0.48124,0.48797,0.86893,0.98595,0.92215,0.93879,0.87216,0.39413,0.41594,0.83193,0.000981163,0.000981163,0.00226321
4,158.77,0.44188,0.44295,0.84872,0.9768,0.92332,0.94758,0.79516,0.65554,0.54473,0.90655,0.000986323,0.000986323,0.000986323
5,197.824,0.42413,0.44082,0.85047,0.99031,0.93111,0.93935,0.88958,0.35772,0.42294,0.83836,0.000975773,0.000975773,0.000975773
6,236.499,0.40857,0.41769,0.8456,0.99696,0.92441,0.94248,0.81604,0.541,0.43683,0.88959,0.00096232,0.00096232,0.00096232
7,275.353,0.3919,0.40369,0.8385,0.9907,0.92359,0.95021,0.87322,0.37599,0.36837,0.83557,0.000946048,0.000946048,0.000946048
8,318.257,0.38945,0.40188,0.83966,0.99209,0.91505,0.93977,0.8861,0.33795,0.33687,0.8302,0.000927057,0.000927057,0.000927057
9,357.062,0.36326,0.38316,0.82941,0.99358,0.92221,0.9346,0.90043,0.3336,0.33154,0.82569,0.000905463,0.000905463,0.000905463
10,395.348,0.35653,0.36753,0.8448,0.98478,0.92219,0.95015,0.91179,0.30141,0.33654,0.82179,0.000881401,0.000881401,0.000881401
11,432.89,0.33963,0.34756,0.82676,0.99465,0.91767,0.95451,0.91666,0.28696,0.32401,0.8163,0.000855018,0.000855018,0.000855018
12,470.893,0.32814,0.33827,0.82672,0.99239,0.92217,0.93323,0.90434,0.33203,0.34091,0.8252,0.000826477,0.000826477,0.000826477
13,508.353,0.3366,0.34218,0.83556,0.99414,0.92353,0.93624,0.90703,0.29036,0.31692,0.81888,0.000795954,0.000795954,0.000795954
14,545.919,0.32225,0.33355,0.82508,0.99425,0.92353,0.93853,0.90461,0.28628,0.30971,0.82506,0.000763637,0.000763637,0.000763637
15,583.556,0.32229,0.3347,0.82489,0.98188,0.94361,0.95834,0.90501,0.31376,0.30456,0.82478,0.000729725,0.000729725,0.000729725
16,621.51,0.31285,0.32065,0.82295,0.98298,0.94391,0.95633,0.91705,0.23745,0.28882,0.81018,0.000694428,0.000694428,0.000694428
17,1066.7,0.29342,0.30042,0.82331,0.98606,0.94302,0.95662,0.91361,0.26783,0.29026,0.81589,0.000657963,0.000657963,0.000657963
18,1124.78,0.28294,0.29921,0.81793,0.98562,0.94391,0.9562,0.91951,0.23998,0.27856,0.81147,0.000620555,0.000620555,0.000620555
19,1173.03,0.27184,0.28714,0.81795,0.99507,0.92458,0.955,0.91949,0.23359,0.27866,0.80949,0.000582435,0.000582435,0.000582435
