epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.111,0.44641,0.4177,0.92157,0.94754,0.90247,0.94431,0.83893,0.45417,0.41875,0.84231,0.000492188,0.000492188,0.00205469
2,229.216,0.44174,0.42092,0.9046,0.93473,0.90748,0.9478,0.855,0.44107,0.3985,0.84698,0.000496953,0.000496953,0.000496953
3,348.053,0.39145,0.37201,0.88873,0.94719,0.90683,0.94681,0.83372,0.48489,0.40202,0.84618,0.000487886,0.000487886,0.000487886
4,469.04,0.38663,0.36246,0.88594,0.96452,0.9167,0.96368,0.85463,0.42427,0.36663,0.83269,0.000473024,0.000473024,0.000473024
5,589.562,0.38646,0.34605,0.87195,0.9352,0.93631,0.95247,0.85713,0.43758,0.36828,0.83248,0.000452732,0.000452732,0.000452732
6,709.819,0.36739,0.34527,0.86165,0.9799,0.89046,0.95042,0.86601,0.40338,0.3388,0.82125,0.000427509,0.000427509,0.000427509
7,830.005,0.35825,0.32623,0.84885,0.97903,0.89158,0.95024,0.86723,0.3984,0.33689,0.81869,0.000397977,0.000397977,0.000397977
8,945.984,0.34847,0.32949,0.85768,0.98698,0.90689,0.95232,0.86966,0.40116,0.32092,0.8212,0.000364863,0.000364863,0.000364863
9,1063.44,0.3374,0.31464,0.84845,0.9757,0.90043,0.96124,0.87412,0.3614,0.30039,0.81334,0.000328982,0.000328982,0.000328982
10,1349.86,0.31596,0.30455,0.83461,0.98488,0.90044,0.95213,0.87235,0.36472,0.30216,0.81277,0.000291218,0.000291218,0.000291218
11,1463.56,0.32081,0.29424,0.83491,0.98644,0.90598,0.96289,0.8786,0.34438,0.28889,0.80702,0.0002525,0.0002525,0.0002525
12,1579.88,0.3133,0.28452,0.82604,0.9668,0.93659,0.97335,0.88019,0.35313,0.29469,0.81025,0.000213782,0.000213782,0.000213782
13,1693.92,0.29782,0.28002,0.83892,0.9803,0.92298,0.96304,0.8812,0.33946,0.28066,0.80412,0.000176018,0.000176018,0.000176018
14,1810.21,0.32651,0.28621,0.83333,0.98223,0.92005,0.96194,0.87891,0.33668,0.28635,0.80382,0.000140137,0.000140137,0.000140137
15,2356.34,0.30294,0.27193,0.83155,0.98046,0.91689,0.96192,0.87646,0.34118,0.28039,0.80445,0.000107023,0.000107023,0.000107023
16,2500.08,0.28991,0.26176,0.82702,0.97863,0.91628,0.9622,0.87823,0.336,0.27879,0.8044,7.74911e-05,7.74911e-05,7.74911e-05
17,2634.26,0.32011,0.27277,0.82792,0.97794,0.91693,0.9619,0.88082,0.32902,0.27883,0.80245,5.22683e-05,5.22683e-05,5.22683e-05
18,2755.87,0.29078,0.26244,0.83083,0.97765,0.91974,0.96237,0.88018,0.33348,0.27744,0.80277,3.19759e-05,3.19759e-05,3.19759e-05
19,2883.02,0.29216,0.26425,0.82917,0.9777,0.92005,0.9621,0.88061,0.33824,0.27852,0.80335,1.71135e-05,1.71135e-05,1.71135e-05
20,3045,0.28848,0.25449,0.82244,0.9778,0.92005,0.96231,0.88141,0.33684,0.27777,0.80304,8.04714e-06,8.04714e-06,8.04714e-06
