epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.406,0.44167,0.35174,0.84536,0.93389,0.90288,0.92315,0.80364,0.48094,0.36916,0.82918,0.000296053,0.000296053,0.00161184
2,287.94,0.39603,0.32675,0.84003,0.94466,0.88519,0.93284,0.81522,0.46192,0.35866,0.82766,0.000298829,0.000298829,0.000298829
3,427.515,0.39019,0.32024,0.83698,0.9226,0.92471,0.94802,0.81536,0.45084,0.34594,0.81979,0.000295335,0.000295335,0.000295335
4,567.102,0.34577,0.29709,0.81795,0.92398,0.92583,0.93746,0.82314,0.39352,0.32913,0.81127,0.000289572,0.000289572,0.000289572
5,701.57,0.3463,0.29924,0.83077,0.90858,0.92914,0.93406,0.82625,0.3903,0.325,0.8115,0.000281632,0.000281632,0.000281632
6,836.066,0.35241,0.28771,0.81953,0.95058,0.92163,0.94416,0.83101,0.39325,0.31902,0.81231,0.000271639,0.000271639,0.000271639
7,975.609,0.34211,0.28798,0.82425,0.93638,0.91429,0.93437,0.82292,0.38686,0.32356,0.81056,0.000259752,0.000259752,0.000259752
8,1136.47,0.33431,0.2854,0.82941,0.91341,0.93794,0.94087,0.82456,0.38276,0.29917,0.8091,0.000246157,0.000246157,0.000246157
9,1303.95,0.3183,0.26981,0.81982,0.92102,0.93779,0.94273,0.83378,0.37729,0.29915,0.80615,0.00023107,0.00023107,0.00023107
10,1489.06,0.31226,0.26382,0.8121,0.92991,0.9325,0.94225,0.83205,0.39879,0.3165,0.81193,0.000214728,0.000214728,0.000214728
11,1671.33,0.30503,0.26282,0.81244,0.92822,0.92707,0.93679,0.83435,0.38008,0.30714,0.80731,0.000197389,0.000197389,0.000197389
12,1839.85,0.28181,0.24715,0.80732,0.94049,0.92523,0.94708,0.83764,0.37541,0.30413,0.80407,0.000179326,0.000179326,0.000179326
13,2002.54,0.32211,0.25892,0.81036,0.93525,0.92347,0.94619,0.84075,0.35968,0.29883,0.80138,0.000160824,0.000160824,0.000160824
14,2162.43,0.30334,0.25061,0.80865,0.93049,0.9325,0.94596,0.83974,0.36715,0.30183,0.80235,0.000142176,0.000142176,0.000142176
15,2326.3,0.29519,0.25027,0.80935,0.94125,0.94298,0.95728,0.84418,0.35674,0.29762,0.80148,0.000123674,0.000123674,0.000123674
16,2477.84,0.31503,0.25569,0.81544,0.95633,0.94142,0.95452,0.8403,0.36124,0.29966,0.80194,0.000105611,0.000105611,0.000105611
17,2614.05,0.30302,0.24825,0.821,0.94415,0.92987,0.94852,0.83967,0.35484,0.29528,0.80188,8.82718e-05,8.82718e-05,8.82718e-05
18,2754.55,0.29544,0.23909,0.80541,0.9508,0.93483,0.9489,0.84228,0.34696,0.29467,0.79987,7.19297e-05,7.19297e-05,7.19297e-05
19,2891.51,0.28335,0.24011,0.81221,0.93556,0.93013,0.95181,0.8427,0.34633,0.29252,0.79809,5.68425e-05,5.68425e-05,5.68425e-05
20,3031.49,0.29701,0.23996,0.80622,0.9371,0.93316,0.95217,0.8412,0.35194,0.28872,0.79891,4.32482e-05,4.32482e-05,4.32482e-05
21,3169.24,0.29647,0.23386,0.81183,0.96371,0.93401,0.95394,0.84199,0.3471,0.28509,0.79901,3.1361e-05,3.1361e-05,3.1361e-05
22,3308.29,0.30501,0.23793,0.8103,0.9603,0.93112,0.95593,0.84223,0.34556,0.28713,0.79918,2.13685e-05,2.13685e-05,2.13685e-05
23,3441.23,0.29689,0.23329,0.80338,0.95551,0.92862,0.95614,0.84402,0.34393,0.28691,0.79901,1.34282e-05,1.34282e-05,1.34282e-05
