epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4278,0.69157,2.63034,0.90928,0.01451,0.98611,0.6603,0.46592,0.57344,3.06511,0.80226,0.000527883,0.000527883,0.000527883
2,63.9422,0.58324,1.23328,0.8946,1,0.16143,0.84892,0.6361,0.64719,2.78024,0.82315,0.00104779,0.00104779,0.00104779
3,93.8812,0.56313,0.95378,0.89913,1,0.07373,0.83997,0.67032,0.50763,2.72458,0.82243,0.00153103,0.00153103,0.00153103
4,123.952,0.47301,0.82255,0.8623,1,0.61213,0.93751,0.81434,0.46166,2.18002,0.82603,0.00150197,0.00150197,0.00150197
5,154.352,0.44178,0.75969,0.85509,0.86546,0.86787,0.91393,0.81717,0.41401,1.74837,0.82524,0.00144696,0.00144696,0.00144696
6,184.283,0.40885,0.72759,0.84695,0.959,0.96574,0.97739,0.90762,0.34889,1.03938,0.81714,0.00139195,0.00139195,0.00139195
7,214.313,0.36956,0.63546,0.83911,0.97858,0.96866,0.98682,0.91351,0.35313,0.76428,0.8234,0.00133693,0.00133693,0.00133693
8,244.769,0.34395,0.64043,0.84343,0.98305,0.99087,0.99351,0.95593,0.29182,0.6999,0.81692,0.00128192,0.00128192,0.00128192
9,274.808,0.33216,0.58849,0.83394,0.97284,0.977,0.98748,0.96208,0.26659,0.57847,0.80707,0.00122691,0.00122691,0.00122691
10,305.494,0.30198,0.57027,0.83211,0.99627,0.97904,0.99337,0.95592,0.24751,0.54069,0.82294,0.0011719,0.0011719,0.0011719
11,335.634,0.30261,0.55521,0.82967,0.9981,0.98611,0.98904,0.97691,0.22954,0.51064,0.80685,0.00111689,0.00111689,0.00111689
12,365.471,0.30472,0.54412,0.82585,0.99456,0.98611,0.99283,0.98365,0.22932,0.50198,0.80456,0.00106188,0.00106188,0.00106188
13,395.699,0.28952,0.53605,0.82549,0.99735,0.98611,0.99132,0.98679,0.20532,0.47165,0.80318,0.00100687,0.00100687,0.00100687
14,425.45,0.26539,0.50066,0.81905,0.99862,0.98611,0.99132,0.98679,0.21215,0.46211,0.80064,0.000951857,0.000951857,0.000951857
15,455.428,0.26959,0.49507,0.81674,0.97802,0.99882,0.99432,0.98681,0.1978,0.45933,0.8016,0.000896846,0.000896846,0.000896846
16,485.176,0.26024,0.48285,0.8159,0.99724,0.98515,0.99473,0.98543,0.17327,0.44166,0.79728,0.000841835,0.000841835,0.000841835
17,514.778,0.24574,0.46718,0.8135,0.99668,0.98611,0.99473,0.98879,0.1807,0.42002,0.79801,0.000786824,0.000786824,0.000786824
18,544.624,0.2222,0.45691,0.80793,0.99689,0.98611,0.99447,0.99018,0.15048,0.40089,0.79271,0.000731813,0.000731813,0.000731813
19,574.454,0.21323,0.43249,0.81304,0.99172,0.98611,0.99473,0.98981,0.15299,0.38534,0.79267,0.000676802,0.000676802,0.000676802
20,604.65,0.20932,0.42415,0.79877,0.99522,0.98611,0.99473,0.99131,0.15384,0.37477,0.79369,0.000621791,0.000621791,0.000621791
21,634.75,0.19657,0.49295,0.79529,0.99337,0.98611,0.99473,0.99127,0.13934,0.41897,0.79433,0.00056678,0.00056678,0.00056678
22,664.251,0.18645,0.47394,0.79122,0.99585,0.98464,0.99473,0.99131,0.14443,0.37203,0.79548,0.000511769,0.000511769,0.000511769
23,694.447,0.17772,0.43242,0.78602,0.97829,0.99905,0.99473,0.99181,0.13718,0.35655,0.79167,0.000456758,0.000456758,0.000456758
24,724.209,0.17623,0.44154,0.78199,0.97819,0.99905,0.99473,0.99015,0.13277,0.36604,0.79302,0.000401747,0.000401747,0.000401747
25,754.127,0.17609,0.4282,0.78366,0.99489,0.98593,0.99473,0.99181,0.12112,0.34102,0.78974,0.000346736,0.000346736,0.000346736
26,783.874,0.16295,0.40684,0.78587,0.99541,0.98611,0.99473,0.99181,0.11292,0.33744,0.78859,0.000291725,0.000291725,0.000291725
27,813.701,0.16503,0.40307,0.79,0.99547,0.98611,0.99473,0.99181,0.11807,0.34046,0.79048,0.000236714,0.000236714,0.000236714
28,843.835,0.15044,0.41252,0.79382,0.99539,0.98611,0.99473,0.99181,0.10785,0.33511,0.78881,0.000181703,0.000181703,0.000181703
29,873.728,0.15222,0.40702,0.78417,0.99523,0.98611,0.99473,0.99181,0.10448,0.33116,0.7888,0.000126692,0.000126692,0.000126692
30,903.484,0.13751,0.38039,0.78785,0.99622,0.98611,0.99473,0.99181,0.09999,0.32127,0.78811,7.1681e-05,7.1681e-05,7.1681e-05
